printing output ---- (current time, process id)
(0,0)
(1,0)
(2,1)
(3,0)
(4,2)
(5,1)
(6,0)
(7,2)
(8,3)
(9,1)
(10,0)
(11,3)
(12,1)
(13,0)
(14,1)
(15,0)
(16,1)
(17,0)
(18,1)
(19,0)
(20,1)
(30,3)
(31,3)
(32,1)
(33,3)
(34,2)
(35,1)
(36,3)
(37,2)
(38,3)
(39,2)
(40,0)
(41,2)
(42,0)
(43,2)
(44,0)
(45,2)
(46,0)
(47,0)
(48,0)
(49,0)
(50,0)
(60,2)
(61,2)
(62,2)
(63,0)
(64,2)
(65,0)
(66,2)
(67,1)
(68,3)
(69,2)
(70,1)
(71,3)
(72,2)
(73,1)
(74,3)
(75,3)
(76,3)
(77,3)
(78,3)
(79,3)
(90,1)
(91,1)
(92,1)
(93,1)
(94,1)
(95,1)
(96,0)
(97,1)
(98,0)
(99,1)
(100,2)
(101,0)
(102,3)
(103,1)
(104,2)
(105,0)
(106,3)
(107,1)
(108,2)
(109,0)
(110,3)
(111,2)
(112,0)
(113,3)
(114,2)
(115,0)
(116,3)
(117,2)
(118,0)
(119,3)
(120,2)
(121,0)
(122,3)
(123,2)
(124,0)
(125,3)
(126,2)
average waiting time:8
